ad,kategori,ozet,yol,bayt,ek_dosya,script,kaynak
gitnexus-refactoring,Yazılım Mühendisliği,"Use when the user wants to rename, extract, split, move, or restructure code safely.",kutuphane/07-yazilim-muhendislik/gitnexus-refactoring,4039,0,hayır,proje-içi
hyperscaler-expert,Yazılım Mühendisliği,"Staff/principal-level multi-cloud (AWS, Microsoft Azure, Google Cloud) expert — service equivalence across the three hyperscalers, current pricing and discount…",kutuphane/07-yazilim-muhendislik/hyperscaler-expert,7163,8,hayır,kurulu
iot-cihaz-muhendisi,Yazılım Mühendisliği,"IoT/bağlantılı cihaz ürün mühendisi — fikirden sahaya çıkmış donanıma kadar tüm zincir — MCU/modül seçimi, bağlantı kararı (Wi-Fi/BLE/Thread/Matter/LoRaWAN/NB-IoT)…",kutuphane/07-yazilim-muhendislik/iot-cihaz-muhendisi,9442,7,hayır,claude.ai
nextjs-development,Yazılım Mühendisliği,"Comprehensive Next.js development skill covering App Router, Server Components, data fetching, routing patterns, API routes, middleware, and full-stack Next.js…",kutuphane/07-yazilim-muhendislik/nextjs-development,34861,2,hayır,"kurulu, proje-içi"
oauth2-authentication,Yazılım Mühendisliği,"Comprehensive OAuth2 authentication skill covering authorization flows, token management, PKCE, OpenID Connect, and security best practices for modern…",kutuphane/07-yazilim-muhendislik/oauth2-authentication,69491,1,hayır,"kurulu, proje-içi"
PostgreSQL Database Administration,Yazılım Mühendisliği,"Comprehensive PostgreSQL database administration skill for customer support tech enablement, covering database design, optimization, performance tuning…",kutuphane/07-yazilim-muhendislik/postgresql,34955,1,hayır,kurulu
PostgreSQL Database Administration,Yazılım Mühendisliği,"Comprehensive PostgreSQL database administration skill for customer support tech enablement, covering database design, optimization, performance tuning…",kutuphane/07-yazilim-muhendislik/postgresql--mcailabs-v4-0,34954,1,hayır,proje-içi
pydantic,Yazılım Mühendisliği,"Comprehensive Pydantic data validation skill for customer support tech enablement - covering BaseModel, Field validation, custom validators, FastAPI integration…",kutuphane/07-yazilim-muhendislik/pydantic,32906,2,hayır,"kurulu, proje-içi"
pytest,Yazılım Mühendisliği,"Advanced Python unit testing framework for customer support tech enablement, covering FastAPI, SQLAlchemy, PostgreSQL, async operations, mocking, fixtures…",kutuphane/07-yazilim-muhendislik/pytest,65786,2,hayır,kurulu
pytest,Yazılım Mühendisliği,"Advanced Python unit testing framework for customer support tech enablement, covering FastAPI, SQLAlchemy, PostgreSQL, async operations, mocking, fixtures…",kutuphane/07-yazilim-muhendislik/pytest--mcailabs-v4-0,65785,2,hayır,proje-içi
react-patterns,Yazılım Mühendisliği,"Modern React development with hooks, component patterns, state management, and performance optimization for building scalable applications",kutuphane/07-yazilim-muhendislik/react-patterns,37724,2,hayır,"kurulu, proje-içi"
serverim-build,Yazılım Mühendisliği,"Drive headless Claude Code runs on Faruk's Linux server through the Serverim MCP connector — writing a spec, launching the build detached in tmux, monitoring it…",kutuphane/07-yazilim-muhendislik/serverim-build,9349,0,hayır,claude.ai
tailwind-css,Yazılım Mühendisliği,"Utility-first CSS framework for rapid UI development with responsive design, component patterns, and production optimization.",kutuphane/07-yazilim-muhendislik/tailwind-css,31218,2,hayır,"kurulu, proje-içi"
ab-gpu-hibe-uzmani,AI & Makine Öğrenmesi,"Avrupa Birliği'nin ücretsiz/desteklenmiş GPU ve süperbilgisayar kaynakları uzmanı — EuroHPC JU erişim çağrıları (Benchmark, Development, Regular, Extreme Scale, AI…",kutuphane/08-ai-ml/ab-gpu-hibe-uzmani,8152,4,hayır,claude.ai
arxiv-api-uzmani,AI & Makine Öğrenmesi,"arXiv API ve OAI-PMH uzmanı — makale arama/keşif, günlük radar takibi, search_query kurulumu ve hata ayıklama, Atom yanıtı ayrıştırma, sayfalama ve rate-limit…",kutuphane/08-ai-ml/arxiv-api-uzmani,10173,7,evet,claude.ai
automl,AI & Makine Öğrenmesi,Benchmarked cross-validated ensemble pipeline for tabular binary classification.,kutuphane/08-ai-ml/automl,4124,1,evet,proje-içi
automl,AI & Makine Öğrenmesi,Benchmarked cross-validated ensemble pipeline for tabular binary classification.,kutuphane/08-ai-ml/automl--autonomous-agent-prediction,3727,1,evet,proje-içi
automl,AI & Makine Öğrenmesi,Benchmarked cross-validated ensemble pipeline for tabular binary classification.,kutuphane/08-ai-ml/automl--autonomous-agent-prediction-3,3727,1,evet,proje-içi
kaggle-kaggle-competitor,AI & Makine Öğrenmesi,"Guides competitors in designing, authoring, validating, evaluating, debugging, and submitting autonomous ML agents to kaggle-kaggle competitions.",kutuphane/08-ai-ml/kaggle-kaggle-skill,8878,6,evet,proje-içi
llm-engineering-expert,AI & Makine Öğrenmesi,"- Act as a senior LLM engineering expert: model architectures (MoE, MLA, sparse/linear/hybrid attention), model selection, training and fine-tuning (SFT, DPO…",kutuphane/08-ai-ml/llm-engineering-expert,6482,5,hayır,claude.ai
ml-expert,AI & Makine Öğrenmesi,Expert ML engineering workflow for Kaggle competitions and general machine learning projects on a MacBook Pro M2 Pro (10-core CPU / 16-core GPU / 16 GB unified…,kutuphane/08-ai-ml/ml-expert,12314,14,evet,"kurulu, proje-içi"
slm-architecture-lead,AI & Makine Öğrenmesi,"- Answer as an SLM architecture engineering lead who has shipped Gemma- and Qwen-class 1-9B models: model design (depth/width, attention layout, SWA vs…",kutuphane/08-ai-ml/slm-architecture-lead,8730,4,hayır,claude.ai
deck-studio,CAD & Görsel Üretim,"Sunum tasarım stüdyosu — bir marka kimliği veya seçilmiş bir sanat yönetimi (art direction) üzerine kurulu, özel tipografili, kendi ürettiği illüstrasyon ve ürün…",kutuphane/09-cad-gorsel/deck-studio,10093,9,evet,claude.ai
gorsel-uretim,CAD & Görsel Üretim,"Moonstone Residence için sosyal medya ve web görseli üretir — Instagram story/Reels karesi, feed ve carousel slaytı, OG görseli, sayı kartı, alıntı kartı, plan/veri…",kutuphane/09-cad-gorsel/gorsel-uretim,9418,6,evet,kurulu
gorsel-uretim,CAD & Görsel Üretim,"Moonstone Residence için sosyal medya ve web görseli üretir — Instagram story/Reels karesi, feed ve carousel slaytı, OG görseli, sayı kartı, alıntı kartı, plan/veri…",kutuphane/09-cad-gorsel/gorsel-uretim--moonstone-gh,11636,13,evet,kurulu
mobilya-cad,CAD & Görsel Üretim,"Levha mobilya (suntalam/MDF dolap, ayakkabılık, gardırop, raf, TV ünitesi) tasarımını parametrik Python modelinden üretim ve sunum paketine çeviren zincir:…",kutuphane/09-cad-gorsel/mobilya-cad,18267,17,evet,kurulu
mobilya-cad,CAD & Görsel Üretim,"Levha mobilya (suntalam/MDF dolap, ayakkabılık, gardırop, raf ünitesi, TV ünitesi, mutfak modülü) tasarımını uçtan uca üretim paketine çeviren mühendislik zinciri —…",kutuphane/09-cad-gorsel/mobilya-cad--mobilya-gh,13453,12,evet,kurulu
pexels-gorsel-bulucu,CAD & Görsel Üretim,"Moonstone Residence için telifsiz Pexels fotoğrafı ve videosu bulur, puanlar, hak/izin riskini denetler ve künyesiyle birlikte indirir.",kutuphane/09-cad-gorsel/pexels-gorsel-bulucu,7639,4,evet,kurulu
pexels-media-scout,CAD & Görsel Üretim,"Finds, scores, clearance-checks and downloads royalty-free Pexels photos and video for music deliverables — album covers, YouTube thumbnails and long-form…",kutuphane/09-cad-gorsel/pexels-media-scout,7441,4,evet,kurulu
pexels-media-scout,CAD & Görsel Üretim,"Finds, scores, clearance-checks and downloads royalty-free Pexels photos and video for music deliverables — album covers, YouTube thumbnails and long-form…",kutuphane/09-cad-gorsel/pexels-media-scout--weftrecords-gh,7441,4,evet,"claude.ai, kurulu"
post-forge,CAD & Görsel Üretim,"Designs and RENDERS finished social post visuals — Instagram feed posts (4:5, 1:1), Stories frames, Instagram carousels and LinkedIn document carousels — as…",kutuphane/09-cad-gorsel/post-forge,11147,11,evet,"GitHub (yerelde yok), claude.ai, kurulu"
arac-uzmani,Yaşam & Türkiye Hizmetleri,"Türkiye pazarı için 2. el ve sıfır araç uzmanı — kullanıcının bütçe, şehir, kilometre, yaş, yakıt, vites, kasa tipi gibi kısıtlarına göre ""sorun çıkarmayacak""…",kutuphane/10-yasam-turkiye/arac-uzmani,7550,2,hayır,claude.ai
dijital-iz-denetcisi,Yaşam & Türkiye Hizmetleri,"Bir kişinin kendi (veya açık yetki verdiği bir müvekkilin) dijital ayak izini uçtan uca tarar — arama motorları, veri simsarları, sosyal platformlar, sızıntı…",kutuphane/10-yasam-turkiye/dijital-iz-denetcisi,13621,6,hayır,claude.ai
hak-arama-turkiye,Yaşam & Türkiye Hizmetleri,"Türkiye'de tüketici, abonelik, kamu hizmeti ve idare kaynaklı mağduriyetlerde doğru mercii bulan, escalation basamaklarını sırayla kuran ve her basamak için hazır…",kutuphane/10-yasam-turkiye/hak-arama-turkiye,6379,2,hayır,claude.ai
konaklama-kesif,Yaşam & Türkiye Hizmetleri,"Global konaklama keşif uzmanı — herhangi bir ülke/şehir için HER SORGUDA üç kanalı birden — otel, Airbnb/apart/daire ve hostel-private/pansiyon — ve yerel kiralık…",kutuphane/10-yasam-turkiye/konaklama-kesif,7529,2,hayır,claude.ai
kultur-sanat-radari,Yaşam & Türkiye Hizmetleri,"Belirli bir tarih aralığında ve şehirde (İstanbul başta olmak üzere Türkiye ve yurt dışı) açık olan sergileri, bienalleri, müze programlarını, konser/sahne…",kutuphane/10-yasam-turkiye/kultur-sanat-radari,5007,1,hayır,claude.ai
sahibinden-arama,Yaşam & Türkiye Hizmetleri,"Deep expertise for searching sahibinden.com — building exact search URLs (category slug + location path + filter params), beating the ~1000-result cap with band…",kutuphane/10-yasam-turkiye/sahibinden-arama,8282,8,evet,kurulu
schengen-randevu-tr,Yaşam & Türkiye Hizmetleri,Türkiye'den Schengen vize randevusu bulma operasyonu uzmanı — hangi ülkenin hangi başvuru merkezinde (iDATA/VFS Global/BLS/Kosmos/AS-Visa) olduğunu ve hangi randevu…,kutuphane/10-yasam-turkiye/schengen-randevu-tr,9198,0,hayır,claude.ai
suriye-is-mevzuat,Yaşam & Türkiye Hizmetleri,"Suriye'de iş yapmanın tüm hukuki ve kurumsal katmanını Türk vatandaşı perspektifinden yöneten uzman — şirket kurma (LLC/JSC/şube), Yatırım Kanunu 18/2021 + KHK…",kutuphane/10-yasam-turkiye/suriye-is-mevzuat,7839,5,hayır,claude.ai
tech-etkinlik-kesif,Yaşam & Türkiye Hizmetleri,"Belirli bir tarih/tarih aralığında, belirli bir ülke veya şehirdeki yerel IT, yazılım, startup ve girişimcilik etkinliklerini (meetup, konferans, hackathon, demo…",kutuphane/10-yasam-turkiye/tech-etkinlik-kesif,7918,1,hayır,claude.ai
trip-konaklama-avcisi,Yaşam & Türkiye Hizmetleri,"Trip.com üzerinde çok şartlı konaklama araması yapar — tarih, şehir, tesis tipi, ücretsiz iptal (ve iptal son tarihi), özel banyo/tuvalet, yıldız, puan, bütçe, ve…",kutuphane/10-yasam-turkiye/trip-konaklama-avcisi,14508,9,evet,kurulu
ucuz-bilet-avcisi,Yaşam & Türkiye Hizmetleri,"Hunts underpriced flights out of Istanbul and turns a vague travel wish into a ranked, evidence-backed shortlist with ready-to-click search links.",kutuphane/10-yasam-turkiye/ucuz-bilet-avcisi,15040,7,evet,kurulu
urun-kesif,Yaşam & Türkiye Hizmetleri,"E-ticaret ürün araştırmacısı — belirli bir ürünün en uygun fiyatla nereden alınacağını bulur VEYA bir ürün tarifi/ihtiyaç tanımından yola çıkıp ""en uygun ama…",kutuphane/10-yasam-turkiye/urun-kesif,8265,3,hayır,claude.ai
vize-giris-kurallari,Yaşam & Türkiye Hizmetleri,"Türkiye pasaportuyla (ve istenirse başka pasaportlarla) herhangi bir ülkeye giriş için vize rejimini, başvuru kanalını, güncel ücreti, randevu durumunu, evrak…",kutuphane/10-yasam-turkiye/vize-giris-kurallari,6705,1,hayır,claude.ai
arapca-ogretmeni,Öğrenme & Dil,"Türklere Arapça öğreten uzman hoca — Türkçedeki binlerce Arapça kökenli kelimeyi köprü yapan, yalancı eşdeğerleri işaretleyen, Türklere özgü hataları (h/ḥ/ḫ…",kutuphane/11-ogrenme/arapca-ogretmeni,7519,5,hayır,claude.ai
ingilizce-kocu,Öğrenme & Dil,"Faruk'un kişisel İngilizce koçu — ana dil Türkçe, mevcut seviye B1, hedef profesyonel C1 (uluslararası PM rolleri, yatırımcı iletişimi).",kutuphane/11-ogrenme/ingilizce-kocu,8134,3,hayır,claude.ai
learn,Öğrenme & Dil,"| Use this skill when the user wants intellectual understanding — learning how or why something works, not getting a task done or soliciting Claude's judgment.",kutuphane/11-ogrenme/learn,13354,1,hayır,claude.ai
kartela-icerik,Marka & Müşteri Projeleri,"Kartela Psikoloji için Instagram gönderisi, karusel, hikaye ve Reels üretir — marka kimliğine ve MEB mevzuatına uygun, karekodlu, Türkçe seslendirmeli.",kutuphane/12-marka-musteri/kartela-icerik,7182,19,hayır,kurulu
moonstone-residence,Marka & Müşteri Projeleri,"Moonstone Residence (Ayhanlar Mimarlık Yapı ve İnşaat) markasının dijital danışmanlık kaynağı — marka kimliği (logo, renk, tipografi, ikon), doğrulanmış proje…",kutuphane/12-marka-musteri/moonstone-residence,7918,11,hayır,kurulu
moonstone-residence,Marka & Müşteri Projeleri,"Moonstone Residence (Ayhanlar Mimarlık Yapı ve İnşaat) markasının dijital danışmanlık kaynağı — marka kimliği (logo, renk, tipografi, ikon), doğrulanmış proje…",kutuphane/12-marka-musteri/moonstone-residence--moonstone-gh,7923,11,hayır,kurulu
rpdm-mevzuat,Marka & Müşteri Projeleri,"MEB'e bağlı (5580 sayılı Kanun kapsamında ruhsatlı) Rehberlik ve Psikolojik Danışma Merkezi için mevzuata uygun reklam, tanıtım ve iletişim üretir ve denetler.",kutuphane/12-marka-musteri/rpdm-mevzuat,5540,5,hayır,kurulu
docx,Ofis & Belge,"Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx) or Word templates (.dotx).",kutuphane/13-ofis-belge/docx,7036,60,evet,claude.ai
latex-uzmani,Ofis & Belge,"LaTeX dizgi uzmanı — CV/özgeçmiş ve akademik makale/tez odaklı; Türkçe/İngilizce dizgide birinci sınıf (XeLaTeX/LuaLaTeX, polyglossia/babel-turkish, ı/İ tuzakları…",kutuphane/13-ofis-belge/latex-uzmani,10230,15,evet,claude.ai
pdf,Ofis & Belge,Use this skill whenever the user wants to do anything with PDF files.,kutuphane/13-ofis-belge/pdf,8035,11,evet,claude.ai
pptx,Ofis & Belge,"Use this skill any time a .pptx or .potx file is involved in any way — as input, output, or both.",kutuphane/13-ofis-belge/pptx,21423,55,evet,claude.ai
xlsx,Ofis & Belge,Use this skill any time a spreadsheet file is the primary input or output.,kutuphane/13-ofis-belge/xlsx,8542,52,evet,claude.ai
consolidate-memory,Meta & Sistem,"Reflective pass over your memory files — merge duplicates, fix stale facts, prune the index.",kutuphane/14-meta-sistem/consolidate-memory,1965,0,hayır,claude.ai
explain-usage,Meta & Sistem,"Explain where this session's tokens went, with one simple chart in plain language.",kutuphane/14-meta-sistem/explain-usage,1378,0,hayır,claude.ai
import-memory,Meta & Sistem,"Import a memory export from another AI assistant into Claude's memory — conversationally, additively, and with the content treated as data.",kutuphane/14-meta-sistem/import-memory,10615,0,hayır,claude.ai
kirkit-skill-author,Meta & Sistem,"Use when the user asks to create, save, or update a reusable skill (""skill oluştur"", ""bunu skill yap"", ""save this as a skill"").",kutuphane/14-meta-sistem/kirkit-skill-author,1370,0,hayır,"kurulu, proje-içi"
morning,Meta & Sistem,"Render the user's morning brief as a styled HTML artifact, or set it up as a recurring weekday task.",kutuphane/14-meta-sistem/morning,17948,2,hayır,claude.ai
product-self-knowledge,Meta & Sistem,Stop and consult this skill whenever your response would include specific facts about Anthropic's products.,kutuphane/14-meta-sistem/product-self-knowledge,2599,0,hayır,claude.ai
schedule,Meta & Sistem,Create or update a scheduled task that runs automatically.,kutuphane/14-meta-sistem/schedule,2387,0,hayır,claude.ai
setup-cowork,Meta & Sistem,"Guided setup — install role-matched plugins, connect your tools, try a skill.",kutuphane/14-meta-sistem/setup-cowork,11901,0,hayır,claude.ai
setup-cowork,Meta & Sistem,"Guided Cowork setup — install a matching plugin, try a skill, connect tools.",kutuphane/14-meta-sistem/setup-cowork--cloud,3005,0,hayır,claude.ai
skill-creator,Meta & Sistem,"Create new skills, modify and improve existing skills, and measure skill performance.",kutuphane/14-meta-sistem/skill-creator,33168,17,evet,claude.ai
