"ID","Kategori","Şehir","Türkçe Adı","İngilizce Adı","Arapça Adı","Alt Tür","Durum","Alkol Durumu","Öncelik","Sitedeki Dosya / Slug","Kaynak ve Notlar","Son Güncelleme"
"kebabji-abu-asaad-aleppo","food","HALEP","Kebapçı Ebu Esad (Babü’l-Ferec)","Kebabji Abu Asaad (Bab al-Faraj)","كبابجي أبو أسعد بباب الفرج","Közde Halep Kebabı & Haşhaş Kebap","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Közlenmiş sarımsak, acı biber ve kuzu boşluğundan çekilen geleneksel Haşhaş kebabı","2026-08-20"
"kibbeh-sajiyyeh-souq-al-madina","food","HALEP","Medine Çarşısı Saç Orukçusu (Kibbeh Sajiyyeh)","Souq al-Madina Saj Kibbeh","كبة صاجية في سوق المدينة","Geleneksel Halep İçli Köftesi","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","İki ince bulgur diski arasına ceviz, nar ekşisi ve kuzu kıyması konularak saçta pişen oruk","2026-08-20"
"patisserie-al-sharq-aleppo","food","HALEP","Şark Pastanesi (Al-Aziziyah / Halep)","Patisserie Al-Sharq Aleppo","حلويات الشرق بحلب","Geleneksel Beyaz Kadayıf (Ballourieh)","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Kızartılmadan fırınlanan bembeyaz kadayıf arasına bol yeşil Halep fıstığı dolgulu Ballourieh","2026-08-20"
"al-qudsi-foul-falafel-aleppo","food","HALEP","El-Kudsî Bakla & Falafelcisi","Al-Qudsi Foul & Falafel (Aleppo)","فول وفلافل القدسي","Halep Usulü Kimyonlu Bakla & Humus","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Tahin ve süzme yoğurtla çırpılmış ılık bakla ezmesi ve taze sıcak falafel","2026-08-20"
"kebab-al-kassab-halep","food","HALEP","Kasap Kebapçısı (Bakırcılar Çarşısı)","Kebab Al-Kassab (Souq al-Nahhasin)","كباب القصاب بسوق النحاسين","Közde Patlıcanlı & Fıstıklı Kebap","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Bakırcıların çekiç sesleri arasında odun kömüründe pişen zırh kebabı","2026-08-20"
"qahwat-al-hatab-jdeideh","food","HALEP","Hatab Meydanı Tarihi Kahvesi","Cafe Sahat al-Hatab (Jdeideh)","مقهى ساحة الحطب","Tarihi Meydan Kahvesi / Çay & Kahve","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Al-Jdeideh mahallesinin kalbinde taş kemerler altında taze nane çayı ve kakuleli süvari kahvesi","2026-08-20"
"al-fustuq-halep-tatlicisi","food","HALEP","El-Fustuk Halep Baklavacısı","Al-Fustuq Sweets Aleppo","حلويات الفستق الحلبية","Geleneksel Fıstıklı Halep Tatlıları","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Köpük kremalı Karabiç ve fıstık ezmeli taze Halep sarması","2026-08-20"
"furn-al-jdeideh-lahmacun","food","HALEP","El-Cedide Taş Fırını (Halep Lahmacunu)","Al-Jdeideh Oven (Aleppo Sfiha)","فرن الجديدة للصفيحة الحلبية","Taş Fırında Nar Ekşili Lahmacun / Sfiha","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Kuzu kıyması, nar ekşisi ve çam fıstığıyla çıtır hamurda fırınlanan Halep usulü Sfiha","2026-08-20"
"matbakh-al-kallaseh-kebap","food","HALEP","Kallâse Kebap & Kuzu Fırın Evi","Al-Kallaseh Traditional Grills","مطعم الكلاسة للمشاوي","Geleneksel Kuzu Pirzola & Kebap","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Kömür ateşinde marine kuzu şiş ve acılı Halep ezmesi","2026-08-20"
"qahwat-al-masa-citadel-view","food","HALEP","Masa Kale Manzaralı Çay Bahçesi","Al-Masa Citadel View Tea Garden","مقهى المساء المطل على القلعة","Manzaralı Tarihi Çay Ocağı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Halep Kalesi’nin aydınlatılmış burçlarına karşı semaver çayı ve nargile","2026-08-20"
"halep-muhammara-ve-meze-evi","food","HALEP","Geleneksel Halep Muhammara & Meze Evi","Traditional Aleppine Muhammara House","بيت المحمرة والمقبلات الحلبية","Yöresel Meze / Muhammara & Mutabbal","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Ceviz, kuru biber salçası, kimyon ve nar ekşisiyle taş havanda dövülen tescilli Halep Muhammarası","2026-08-20"
"al-sultan-sweets-aleppo","food","HALEP","Sultan Tatlıcısı (Babü’l-Ferec)","Al-Sultan Sweets Aleppo","حلويات السلطان بحلب","Geleneksel Kadayıf & Şuaibiyat","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Fıstık dolgulu çıtır katmer Şuaibiyat ve taze tereyağlı burma kadayıf","2026-08-20"
"hama-halawet-el-jibn","food","HAMA","Geleneksel Halavet el-Cibn (El-Hâzır / Hama)","Traditional Halawet el Jibn of Hama","حلاوة الجبن الحموية الأصلية","Tescilli Peynir Tatlısı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P0 - Acil (Hama Açılışı)","-","Peynir ve irmikle yapılan, kaymak (ashta) dolgulu Hama’nın tescilli tatlısı","2026-08-20"
"halawiyat-salloura-hama-1870","food","HAMA","Sellûre Tatlıcısı (Hama 1870)","Salloura Sweets Hama (Est. 1870)","حلويات سلورة بحماة","Asırlık Tatlı Ekolü / Halawet el-Jibn","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P0 - Acil (Hama Açılışı)","-","1870’te Hama’da kurulan ve tüm Ortadoğu’ya yayılan Halavet el-Cibn’in ilk tescilli ustaları","2026-08-20"
"batarsh-hamawi-lokantasi","food","HAMA","Geleneksel Batarş Lokantası (Hama)","Batarsh Hamawi Traditional Restaurant","مطعم البطرش الحموي","Yöresel Hama Yemeği / Batarş","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P0 - Acil (Hama Açılışı)","-","Közlenmiş patlıcan, süzme yoğurt, tahin ve üzerinde cevizli kavrulmuş kuzu kıymasıyla Hama’nın imza yemeği","2026-08-20"
"matam-al-noria-hama","food","HAMA","Noria Su Dolabı Çay & Yemek Bahçesi","Al-Noria Riverside Restaurant (Hama)","مطعم النواعير على نهر العاصي","Nehir Kıyısı Aile Lokantası","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Asi Nehri ve ahşap su dolaplarının sesi eşliğinde ızgara etler ve demlik çay","2026-08-20"
"foul-wa-fatteh-abu-nazir-hama","food","HAMA","Ebu Nazir Bakla & Fettecisi (Hama Çarşısı)","Abu Nazir Foul & Fatteh (Hama)","فول وفتة أبو نذير بحماة","Geleneksel Kahvaltı Durağı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Tahinli ve zeytinyağlı sıcak bakla ile nar taneli Hama fettesı","2026-08-20"
"halawiyat-al-afandi-hama","food","HAMA","Efendi Tatlıcısı (Hama)","Al-Afandi Sweets Hama","حلويات الأفندي بحماة","Geleneksel Şuaibiyat & Peynir Helvası","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Fırından yeni çıkan sıcak kaymaklı Şuaibiyat ve taze sarma peynir helvası","2026-08-20"
"humus-majouqa-firin-lokantasi","food","HUMUS","Geleneksel Mec’uka Fırın Lokantası (Humus)","Traditional Majouqa Oven (Homs)","المعجوقة الحمصية الأصلية","Yöresel Humus Yemeği / Majouqa","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Kaşar peyniri, mantar ve cevizle doldurulup közde pişirilen iki katlı kuzu köftesi Mec’uka","2026-08-20"
"halawiyat-al-dura-homs","food","HUMUS","Dürre Tatlıcısı (Humus)","Al-Dura Sweets Homs","حلويات الدرة بحمص","Humus Usulü Halawet el-Jibn & Kadayıf","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Humus usulü kalın kaymaklı peynir tatlısı ve fıstıklı sıcak tel kadayıf","2026-08-20"
"foul-al-rifai-homs","food","HUMUS","Rifaî Baklacısı (Bab Hood / Humus)","Al-Rifai Foul & Hummus (Homs)","فول الرفاعي في حمص","Tarihi Bakla & Humus Çarşısı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Sarımsak, kimyon ve taze zeytinyağıyla bakır sahanlarda servis edilen geleneksel sabah baklası","2026-08-20"
"qahwat-al-rawda-homs","food","HUMUS","Ravza Tarihi Çarşı Kahvesi (Humus)","Al-Rawda Historic Cafe (Homs)","مقهى الروضة في حمص القديمة","Tarihi Çarşı Kahvehanesi","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Eski Humus çarşısında asırlık taş kemerler altında kakuleli kahve ve nane çayı","2026-08-20"
"al-mina-balik-lokantasi-lazkiye","food","LAZKIYE","Liman Balıkçısı (Lazkiye Tarihi Liman)","Al-Mina Seafood Restaurant (Latakia)","مطعم الميناء للأسماك في اللاذقية","Taze Akdeniz Balığı & Seyyadiye","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Alkolsüz aile ortamında taze ızgara lahoz, kaya balığı ve baharatlı balık pilavı Seyyadiye","2026-08-20"
"halawiyat-al-bahlawan-lazkiye","food","LAZKIYE","Pehlivan Narenciye Tatlıcısı (Lazkiye)","Al-Bahlawan Citrus Sweets (Latakia)","حلويات البهلوان باللاذقية","Yöresel Turunç Tatlıları & Cezerye","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Lazkiye narenciyelerinden yapılan taze turunç kabuğu tatlısı, fıstıklı cezerye ve incir reçelleri","2026-08-20"
"furn-al-kessab-dag-firini","food","LAZKIYE","Kesep Dağ Fırını (Zahter & Çökelekli Ekmek)","Kessab Mountain Bakery","أفران كسب الجبلية للزعتر والمناقيش","Dağ Köyü Fırını / Biberli Ekmek","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","800m rakımda dağ kekiği, taze çökelek ve biber salçasıyla taş fırında pişen sıcak Kesep ekmekleri","2026-08-20"
"qahwat-al-bahr-lazkiye","food","LAZKIYE","Deniz Kıyısı Tarihi Sahil Kahvesi","Al-Bahr Seaside Cafe (Latakia Corniche)","مقهى البحر على كورنيش اللاذقية","Sahil Çay & Kahvehanesi","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P2 - Orta","-","Akdeniz dalgaları eşliğinde taze limonata, süvari kahvesi ve nargile","2026-08-20"
"qahwat-al-jazira-arwad","food","TARTUS","Ada İskele Kahvesi (Arwad Adası)","Arwad Island Fishermen Cafe","مقهى جزيرة أرواد على المرفأ","Tarihi Ada Kahvehanesi","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Geleneksel ahşap teknelerin bağlandığı rıhtımda balıkçıların sabah çayı ve kakuleli kahvesi","2026-08-20"
"matam-al-marsa-tartus","food","TARTUS","El-Mersâ Sahil Balık Lokantası (Tartus)","Al-Marsa Seafood Restaurant (Tartus)","مطعم المرسى للمأكولات البحرية بطرطوس","Taze Balık & Tahinli Fırın Balığı","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Tahin ve ceviz sosunda fırınlanan Akdeniz balığı (Siniyet Samak) ve taze deniz mezeleri","2026-08-20"
"tedmur-bedevi-mandi-sofrasi","food","TEDMUR","Tedmür Bedevi Mandi Sofrası (Vaha)","Palmyra Bedouin Mandi & Lamb Roast","المندي البدوي التدمري في الواحة","Geleneksel Çöl Mutfağı / Mandi & Kuzu","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Hurma ağaçları altında kuyu ateşinde ağır ağır pişen kuzu eti, safranlı pilav ve adaçayı","2026-08-20"
"havran-mansaf-ve-mleihi-evi","food","SUVEYDA","Geleneksel Havran Mleyhi & Mansaf Evi (Süveyda)","Traditional Hawran Mleihi & Mansaf","المليحي الحوراني والمناسف","Yöresel Havran Mutfağı / Mleyhi","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Kurutulmuş yoğurt (cemid), iri bulgur, kuzu eti ve kızgın sadeyağla hazırlanan güney Suriye’nin şölen yemeği","2026-08-20"
"hama-su-dolaplari-noria","place","HAMA","Hama Su Dolapları (Noria)","Norias of Hama","نواعير حماة","Tarihi Su Çarkı / Mühendislik Mirası","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P0 - Acil (Hama Açılışı)","-","Asi Nehri üstündeki 17 dev ahşap su dolabı, Eyyubi/Memluk dönemi, UNESCO Geçici Liste","2026-08-20"
"apamea-antik-kenti","place","HAMA","Afamiya (Apamea) Antik Kenti","Apamea Colonnaded Street","أفاميا","Helenistik / Roma Antik Kenti","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P0 - Acil (Hama Açılışı)","-","2 km uzunluğundaki dünyanın en uzun sütunlu caddelerinden biri","2026-08-20"
"hama-noria-ve-asi-nehri-rotasi","route","HAMA","Hama Su Dolapları ve Asi Nehri Yürüyüşü","Hama Norias & Orontes River Walk","مسار نواعير حماة ونهر العاصي","Yürüyüş Rotası","YAYINLANABİLİR","Alkolsüz (Doğrulandı)","P0 - Acil (Hama Açılışı)","-","El-Muhammediye ve El-Cebriye dolapları boyunca 2 saatlik nehir boyu yürüyüş","2026-08-20"
"masyaf-kalesi","place","HAMA","Masyaf Kalesi","Masyaf Castle","قلعة مصياف","Orta Çağ Kalesi / Nizari İsmaili","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Raşidüddin Sinan dönemi kalesi, sarnıçlar ve gizli yeraltı tünelleri","2026-08-20"
"qasr-ibn-wardan","place","HAMA","Kasrü İbn Vardan (Bazalt Sarayı)","Qasr Ibn Wardan","قصر ابن وردان","6. Yüzyıl Bizans Sarayı & Kilisesi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Justinianus dönemi, siyah bazalt ve sarı kireçtaşı şeritli eşsiz mimari","2026-08-20"
"hama-azm-sarayi","place","HAMA","Hama Azm Sarayı","Azm Palace of Hama","قصر العظم في حماة","18. Yüzyıl Osmanlı Valilik Sarayı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Asi Nehri kıyısında Esad Paşa el-Azm tarafından yaptırılan avlulu saray","2026-08-20"
"arwad-adasi-ve-fenike-surlari","place","TARTUS","Arwad Adası ve Fenike Surları","Arwad Island & Phoenician Sea Wall","جزيرة أرواد","Tarihi Ada / Fenike & Haçlı Limanı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Suriye’nin tek meskun adası, geleneksel tekne yapım atölyeleri ve antik deniz surları","2026-08-20"
"amrit-fenike-tapinagi","place","TARTUS","Amrit Fenike Tapınağı ve Stadyumu","Amrit Phoenician Sanctuary & Stadium","موقع عمريت الأثري","MÖ 6. Yüzyıl Fenike Tapınağı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Su havuzu ortasında yükselen eşsiz ma’abed tapınağı ve antik taş stadyum","2026-08-20"
"safita-beyaz-kule-chastel-blanc","place","TARTUS","Safita Kulesi (Chastel Blanc)","Safita Tower (Chastel Blanc)","برج صافيتا","Haçlı Kulesi & Aziz Mikail Şapeli","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Zemin katı kilise, üst katı ok mazgallı savunma kulesi olan 28 metre beyaz kule","2026-08-20"
"tartus-meryem-ana-katedrali","place","TARTUS","Tartus Meryem Ana Katedrali","Cathedral of Our Lady of Tortosa","كاتدرائية طرطوس","12. Yüzyıl Romanesk Katedral / Müze","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Haçlı döneminden kalan en iyi korunmuş erken Romanesk/Gotik katedral, günümüzde arkeoloji müzesi","2026-08-20"
"tartus-eski-sehir-ve-arwad-rotasi","route","TARTUS","Tartus Katedrali ve Arwad Adası Rotası","Tartus Old Town & Arwad Boat Itinerary","مسار طرطوس القديمة وجزيرة أرواد","Deniz ve Şehir Rotası","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Tartus katedrali, liman yürüyüşü ve Arwad adasına 15 dakikalık tekne geçişi","2026-08-20"
"souq-al-buzuriyah-sam","place","SAM","Büzüriye Çarşısı (Baharatçılar & Şekerlemeciler)","Al-Buzuriyah Souq","سوق البزورية","Tarihi Çarşı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Emevi Camii ile Azm Sarayı arasında; şifalı otlar, gülsuyu, lokum ve kuruyemiş çarşısı","2026-08-20"
"maktab-anbar-sam","place","SAM","Mekteb-i Anber (Maktab Anbar)","Maktab Anbar Cultural Center","مكتب عنبر","19. Yüzyıl Osmanlı Avlulu Konağı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Üç büyük avlusu ve mermer fıskiyeleriyle Şam sivil mimarisinin en görkemli örneği","2026-08-20"
"el-medresetuz-zahiriyye-sam","place","SAM","Zahiriyye Medresesi & Sultan Baybars Türbesi","Al-Madrasa al-Zahiriyya","المدرسة الظاهرية","13. Yüzyıl Memluk Medresesi & Kütüphanesi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Memluk mozaik panoları ve 1277 tarihli Sultan Baybars türbesi","2026-08-20"
"sayyida-ruqayya-camii","place","SAM","Seyyide Rukiyye Camii","Sayyida Ruqayya Mosque","مقام السيدة رقية","Dini Anıt / Ayna ve Çini Mimarisi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Eski Şam Emevi Camii arkası; İran çini ve ayna işçiliğiyle ünlü anıt cami","2026-08-20"
"sarouja-mahallesi-kucuk-istanbul","place","SAM","Saruca Mahallesi (Küçük İstanbul)","Sarouja Historic Quarter","حي ساروجة","Memluk & Osmanlı Tarihi Mahallesi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Surların dışındaki ilk İslam mahallesi, Osmanlı paşa konakları ve hamamları","2026-08-20"
"bab-tuma-tarihi-kapisi","place","SAM","Bab Tuma (Aziz Thomas Kapısı)","Bab Touma (Saint Thomas Gate)","باب توما","Roma / Eyyubi Şehir Kapısı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Eski Şam’ın kuzeydoğu kapısı ve Hristiyan mahallesinin ana giriş noktası","2026-08-20"
"khan-al-harir-halep","place","HALEP","İpek Hanı (Hanü’l-Harir)","Khan al-Harir (Silk Caravanserai)","خان الحرير في حلب","16. Yüzyıl Osmanlı Kervansarayı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","İpek Yolu tüccarlarının merkezi, restorasyonu tamamlanmış çift katlı avlulu han","2026-08-20"
"masbanat-al-zanabili-sabun-atolyesi","place","HALEP","Zanabili Asırlık Halep Sabunhanesi","Al-Zanabili Traditional Soap Factory","مصبنة الزنابيلي","Geleneksel Zanaat / Defne Sabunu","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Zeytinyağı ve defne yağıyla kazanlarda kaynatılıp kule şeklinde kurutulan 800 yıllık Halep sabunu zanaatı","2026-08-20"
"bimaristan-arghun-el-kamili","place","HALEP","Argûn el-Kâmilî Bimaristanı","Bimaristan Arghun al-Kamili","البيمارستان الأرغوني","14. Yüzyıl Memluk Şifahanesi / Müze","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Su sesi ve müzikle tedavi uygulanan İslam tıp tarihinin en gelişmiş şifahanelerinden biri","2026-08-20"
"el-cedide-mahallesi-halep","place","HALEP","El-Cedide Tarihi Mahallesi","Al-Jdeideh Historic Quarter","حي الجديدة في حلب","15.–17. Yüzyıl Taş Konak Mahallesi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Beyt Gazale ve Beyt Açıbaş gibi oymalı taş avlulu konaklar ve dar geçitler","2026-08-20"
"mar-siman-manastiri-halep","place","HALEP","Aziz Simeon (Mar Siman) Manastırı","Church of Saint Simeon Stylites","كنيسة مار سمعان العمودي","UNESCO / 5. Yüzyıl Erken Hristiyanlık","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Halep’in 30 km kuzeybatısında, sütun azizi Simeon’un 37 yıl yaşadığı tepedeki anıtsal bazilika","2026-08-20"
"bosra-roma-tiyatrosu","place","BOSRA","Bosra Roma Tiyatrosu ve Kalesi","Roman Theatre at Bosra","مسرح بصرى الروماني","UNESCO Dünya Mirası / Antik Tiyatro","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Siyah bazalt taşından yapılmış, dünyanın en iyi korunmuş 2. yüzyıl Roma tiyatrosu","2026-08-20"
"bosra-mabrak-en-naka-camii","place","BOSRA","Mebrekü’n-Nâka Camii","Mabrak al-Naqa Mosque","جامع مبرك الناقة","7. Yüzyıl Erken İslam Mescidi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Hz. Muhammed’in kervanıyla Bosra’ya geldiğinde devesinin çöktüğü rivayet edilen tarihi mekan","2026-08-20"
"sehba-philippopolis-antik-kenti","place","SUVEYDA","Şehba (Philippopolis) Antik Kenti & Mozaikleri","Shahba (Philippopolis) Roman City","شهبا (فيلبوبوليس)","Roma İmparatorluk Şehri / Mozaik Müzesi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Roma İmparatoru Arap Philip’in doğum yeri, kütüphane, hamam ve mozaikler","2026-08-20"
"qanawat-canatha-tapinaklari","place","SUVEYDA","Kanavat (Canatha) Antik Tapınakları","Qanawat (Canatha) Roman Temples","قنوات (كاناثا)","Dekapolis Şehri / Helios Tapınağı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Meşe ormanları içinde Helenistik/Roma tapınak kompleksi ve erken Bizans bazilikası","2026-08-20"
"serjilla-antik-koyu","place","IDLIB","Serjilla Antik Köyü (Ölü Şehirler)","Serjilla Ancient Dead City","سيرجيلا (المدن المنسية)","UNESCO / 5. Yüzyıl Bizans Yerleşimi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Zeytinyağı presleri, iki katlı villalar ve hamam kalıntılarıyla ayakta kalan taş yerleşim","2026-08-20"
"el-bara-antik-kenti","place","IDLIB","El-Bara Piramit Mezarları ve Manastırı","Al-Bara Ancient City & Pyramid Tombs","البارة الأثرية","UNESCO / 4.–7. Yüzyıl Antik Şehir","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Zeytinlikler arasında dev piramit çatılı anıt mezarlar ve 5 büyük bazilika","2026-08-20"
"malula-mar-takla-manastiri","place","SAM","Malula & Mar Takla Manastırı","Maaloula & Convent of Saint Thecla","معلولا ودير مار تقلا","Aramice Konuşulan Köy / Kanyon Manastırı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Hz. İsa’nın dili Batı Aramice’nin hâlâ konuşulduğu dağ köyü ve tarihi kanyon geçidi","2026-08-20"
"saydnaya-meryem-ana-manastiri","place","SAM","Saydnaya Meryem Ana Manastırı","Our Lady of Saidnaya Monastery","دير سيدة صيدنايا","6. Yüzyıl Bizans Manastırı","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","İmparator Justinianus tarafından 547’de kurulan tepe manastırı","2026-08-20"
"deyr-mar-musa-el-habesi","place","SAM","Deyr Mar Musa el-Habeşi Manastırı","Monastery of Saint Moses the Abyssinian","دير مار موسى الحبشي","6. Yüzyıl Çöl Manastırı & Freskleri","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Nebek yakınında dik vadide 11. yüzyıl Arapça/Süryanice duvar freskleri","2026-08-20"
"selahaddin-kalesi-sahyun","place","LAZKIYE","Selahaddin Kalesi (Kalat Sahyun)","Citadel of Salah Ed-Din (Sahyun)","قلعة صلاح الدين الأيوبي","UNESCO Dünya Mirası / Dağ Kalesi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P1 - Yüksek","-","Kayaya oyulmuş 28 metre derinlikteki hendek ve dikili taş iğnesiyle askeri mimarlık şaheseri","2026-08-20"
"qalaat-jaabar-cabbar-kalesi","place","RAKKA","Cabber Kalesi (Fırat Nehri / Esed Gölü)","Qal'at Ja'bar","قلعة جعبر","11. Yüzyıl Selçuklu/Zengi Ada Kalesi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","Fırat Nehri üzerinde baraj gölüyle adaya dönüşen tuğla kuleli tarihi kale","2026-08-20"
"bloudan-ve-zabadani-rotasi","route","SAM","Bludan & Zebadani Dağ ve Bahçe Rotası","Bloudan & Zabadani Mountain Route","مسار بلودان والزبداني","Dağ ve Doğa Gezisi","ARAŞTIRILACAK","Alkolsüz (Doğrulandı)","P2 - Orta","-","1500 metre rakımda elma ve kiraz bahçeleri, serin pınarlar ve Barada kaynağı","2026-08-20"
